Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions,score,rank
3993014919980212480,0.1828827649139486,0.18288276491394856,0.4971835832456376,5.461102800785048e-78,0.5933859783782377,331.0,695.0,0.25936083518962305,46.0
3993222640082269952,0.16872440404203815,0.16872440404203815,0.4526710701285513,5.461107158359474e-78,0.5787708004927623,1434.0,3087.0,0.2412097162981075,75.0
3994879592543698688,0.18976045002432523,0.18976045002432523,0.42244295635572554,2.3456357358139196e-69,0.6887920267841565,361.0,653.0,0.2577360414629396,52.0
3995532094997544704,0.0,0.0,0.15953652030946444,5.160203622298791e-64,0.2666470025877091,1295.0,6051.0,0.058572004320663805,150.0
3996598927198996481,0.18798536568951107,0.18798536568951107,0.3903272828381393,2.2603943475017617e-69,0.45885481331373473,980.0,2661.0,0.2273428890282324,94.0
3998572645139652353,0.26024219009432636,0.26024219009432636,0.5091683116262861,5.461190734018963e-78,0.44497545853784554,95.0,266.0,0.28946441273092127,26.0
3998659472131949824,0.16356535813762593,0.1635653581376259,0.5383026397519464,5.461102800785048e-78,0.610252057423331,72.0,147.0,0.2586466806684166,51.0
3999240873283311617,0.6511447681513157,0.6511447681513157,0.48815463589653574,5.461102800785048e-78,0.6518959349229365,2366.0,4522.0,0.5209501431548245,2.0
3999845462424248576,0.2156585306076049,0.21565853060760487,0.6804178435623747,5.461102809226466e-78,0.5418561912827942,1443.0,3318.0,0.308881379674937,18.0
4000222729738650369,0.1677658671532765,0.1677658671532765,0.6476886511876239,5.461102800785048e-78,0.6983978073669149,537.0,958.0,0.2916487379085183,25.0
4000877324693233921,0.13646936055244926,0.13646936055244926,0.2363714540879281,2.7803895384601702e-74,0.5589185957885612,2714.0,6050.0,0.17822429870028883,142.0
4002413037164645377,0.19009484469191978,0.19009484469191978,0.44843981735497557,5.461102800785048e-78,0.23144904058669882,107.0,576.0,0.21738503211022087,109.0
4004410127575640832,0.1808328741022011,0.1808328741022011,0.43984030562054854,5.4620378004682195e-78,0.4300551768906199,175.0,507.0,0.2304316595693823,91.0
4004713168329653760,0.16614845470636866,0.16614845470636863,0.41293842612895554,5.461094953089914e-78,0.09229120621525684,2.0,27.0,0.18319845593581954,138.0
4006366295148391425,0.182169968410503,0.182169968410503,0.39072257651280334,5.461102800785048e-78,0.2140586787327433,117.0,681.0,0.19974386580161166,128.0
4008537296438699777,0.17401664844483608,0.17401664844483608,0.4222884810962156,1.033579872862325e-75,0.5798820368085718,249.0,535.0,0.23815505654476016,82.0
4008711265867865600,0.28033953094524233,0.28033953094524233,0.5994298185943536,1.96396070579898e-43,0.5249355155542909,166.0,394.0,0.3265662572941831,15.0
4008804082027254529,0.18589502204085062,0.1858950220408506,0.3030597670352118,5.461102818119313e-78,0.6734418324291741,527.0,975.0,0.23019839877242762,92.0
4011626972687000576,0.21139034056704484,0.2113903405670448,0.5253454615099892,5.461102800785048e-78,0.4785396575900397,2326.0,6056.0,0.2691877453728765,32.0
4012994295026226176,0.17602613234290584,0.17602613234290584,0.3656406346370698,1.6269666431445678e-69,0.49876993980924694,251.0,627.0,0.21981949369693687,103.0
